10101010,Oil & Gas Drilling
10101020,Oil & Gas Equipment & Services
10102010,Integrated Oil & Gas
10102020,Oil & Gas Exploration & Production
10102030,Oil & Gas Refining & Marketing
10102040,Oil & Gas Storage & Transportation
10102050,Coal & Consumable Fuels
15101010,Commodity Chemicals
15101020,Diversified Chemicals
15101030,Fertilizers & Agricultural Chemicals
15101040,Industrial Gases
15101050,Specialty Chemicals
15102010,Construction Materials
15103010,Metal & Glass Containers
15103020,Paper Packaging
15104010,Aluminum
15104020,Diversified Metals & Mining
15104030,Gold
15104040,Precious Metals & Minerals
15104050,Steel
15105010,Forest Products
15105020,Paper Products
20101010,Aerospace & Defense
20102010,Building Products
20103010,Construction & Engineering
20104010,Electrical Components & Equipment
20104020,Heavy Electrical Equipment
20105010,Industrial Conglomerates
20106010,Construction & Farm Machinery & Heavy Trucks
20106020,Industrial Machinery
20107010,Trading Companies & Distributors
20201010,Commercial Printing
20201020,Data Processing Services  -- Discontinued effective 04/30/2003.
20201030,Diversified Commercial & Professional Services -- Discontinued effective 08/31/2008
20201040,Human Resource & Employment Services -- Discontinued effective 08/31/2008
20201050,Environmental & Facilities Services
20201060,Office Services & Supplies
20201070,Diversified Support Services
20201080,Security & Alarm Services
20202010,Human Resource & Employment Services
20202020,Research & Consulting Services
20301010,Air Freight & Logistics
20302010,Airlines
20303010,Marine
20304010,Railroads
20304020,Trucking
20305010,Airport Services
20305020,Highways & Railtracks
20305030,Marine Ports & Services
25101010,Auto Parts & Equipment
25101020,Tires & Rubber
25102010,Automobile Manufacturers
25102020,Motorcycle Manufacturers
25201010,Consumer Electronics
25201020,Home Furnishings
25201030,Homebuilding
25201040,Household Appliances
25201050,Housewares & Specialties
25202010,Leisure Products
25202020,Photographic Products
25203010,"Apparel, Accessories & Luxury Goods"
25203020,Footwear
25203030,Textiles
25301010,Casinos & Gaming
25301020,"Hotels, Resorts & Cruise Lines"
25301030,Leisure Facilities
25301040,Restaurants
25302010,Education Services
25302020,Specialized Consumer Services
25401010,Advertising
25401020,Broadcasting
25401025,Cable & Satellite
25401030,Movies & Entertainment
25401040,Publishing
25501010,Distributors
25502010,Catalog Retail
25502020,Internet Retail
25503010,Department Stores
25503020,General Merchandise Stores
25504010,Apparel Retail
25504020,Computer & Electronics Retail
25504030,Home Improvement Retail
25504040,Specialty Stores
25504050,Automotive Retail
25504060,Homefurnishing Retail
30101010,Drug Retail
30101020,Food Distributors
30101030,Food Retail
30101040,Hypermarkets & Super Centers
30201010,Brewers
30201020,Distillers & Vintners
30201030,Soft Drinks
30202010,Agricultural Products
30202020,"Meat, Poultry & Fish (discontinued, effective March 28 2002)"
30202030,Packaged Foods & Meats
30203010,Tobacco
30301010,Household Products
30302010,Personal Products
35101010,Health Care Equipment
35101020,Health Care Supplies
35102010,Health Care Distributors
35102015,Health Care  Services
35102020,Health Care Facilities
35102030,Managed Health Care
35103010,Health Care Technology
35201010,Biotechnology
35202010,Pharmaceuticals
35203010,Life Sciences Tools & Services
40101010,Diversified Banks
40101015,Regional Banks
40102010,Thrifts & Mortgage Finance
40201010,Consumer Finance -- Discontinued effective 04/30/2003.
40201020, Other Diversified Financial Services
40201030,Multi-Sector Holdings
40201040,Specialized Finance
40202010,Consumer Finance
40203010,Asset Management & Custody Banks
40203020,Investment Banking & Brokerage
40203030,Diversified Capital Markets
40301010,Insurance Brokers
40301020,Life & Health Insurance
40301030,Multi-line Insurance
40301040,Property & Casualty Insurance
40301050,Reinsurance
40401010,Real Estate Investment Trusts -- Discontinued effective 04/28/2006
40401020,Real Estate Management & Development -- Discontinued effective 04/28/2006
40402010,Diversified REIT's
40402020,Industrial REIT's
40402030,Mortgage REIT's
40402040,Office REIT's
40402050,Residential REIT's
40402060,Retail REIT's
40402070,Specialized REIT's
40403010,Diversified Real Estate Activities
40403020,Real Estate Operating Companies
40403030,Real Estate Development
40403040,Real Estate Services
45101010,Internet Software & Services
45102010,IT Consulting & Other Services
45102020,Data Processing & Outsourced Services
45103010,Application Software
45103020,Systems Software
45103030,Home Entertainment Software
45201010,Networking Equipment -- Discontinued effective 04/30/2003.
45201020,Communications Equipment
45201020,Telecommunications Equipment -- Discontinued effective 04/30/2003.
45202010,Computer Hardware
45202020,Computer Storage & Peripherals
45203010,Electronic Equipment & Instruments 
45203015,Electronic Components
45203020,Electronic Manufacturing Services
45203030,Technology Distributors
45204010,Office Electronics
45205010,Semiconductor Equipment -- Discontinued effective 04/30/2003.
45205020,Semiconductors -- Discontinued effective 04/30/2003.
45301010,Semiconductor Equipment 
45301020,Semiconductors
50101010,Alternative Carriers
50101020,Integrated Telecommunication Services
50102010,Wireless Telecommunication Services
55101010,Electric Utilities
55102010,Gas Utilities
55103010,Multi-Utilities
55104010,Water Utilities
55105010,Independent Power Producers & Energy Traders
